country_name_text,term,Odds Ratio,95% CI,p-value
Albania,combined_child_rearing,0.8990869808262003,0.67 - 1.205,0.477
Albania,sex,1.4443791693591583,0.912 - 2.342,0.125
Albania,age_grp,0.9070834005285622,0.793 - 1.037,0.153
Albania,educ,0.9358923421283539,0.8 - 1.08,0.385
Albania,polint_rev,1.0129101194324424,0.811 - 1.255,0.908
Albania,gen_trust_rev,2.3452741432471047,0.675 - 6.277,0.124
Austria,combined_child_rearing,0.9117943197326808,0.821 - 1.012,0.085
Austria,sex,0.9231926276728901,0.736 - 1.158,0.488
Austria,age_grp,1.0764965120465715,1.007 - 1.152,0.032
Austria,educ,0.9994406663122782,0.923 - 1.082,0.989
Austria,polint_rev,1.0755505909950163,0.944 - 1.227,0.276
Austria,gen_trust_rev,1.8645260600309261,1.482 - 2.349,0
Bulgaria,combined_child_rearing,0.7648628580090904,0.641 - 0.91,0.003
Bulgaria,sex,0.7437521283295999,0.526 - 1.052,0.094
Bulgaria,age_grp,0.9728119449343214,0.875 - 1.082,0.61
Bulgaria,educ,1.143643977110302,1.043 - 1.253,0.004
Bulgaria,polint_rev,1.0319304802076064,0.848 - 1.259,0.755
Bulgaria,gen_trust_rev,0.9003849076229136,0.571 - 1.382,0.641
Croatia,combined_child_rearing,0.8839179479045525,0.725 - 1.078,0.223
Croatia,sex,0.7525638739615079,0.493 - 1.148,0.186
Croatia,age_grp,0.9848638318670389,0.869 - 1.116,0.811
Croatia,educ,1.1123814003476418,0.988 - 1.248,0.073
Croatia,polint_rev,1.1759035788024148,0.953 - 1.451,0.131
Croatia,gen_trust_rev,2.1533327921458674,1.333 - 3.423,0.001
Czechia,combined_child_rearing,1.0283113441007123,0.892 - 1.185,0.7
Czechia,sex,1.041230796940683,0.792 - 1.371,0.773
Czechia,age_grp,1.1045334589153515,1.022 - 1.195,0.013
Czechia,educ,1.132825416921044,1.035 - 1.239,0.007
Czechia,polint_rev,0.9410983429233915,0.809 - 1.094,0.429
Czechia,gen_trust_rev,1.5806743645103758,1.164 - 2.141,0.003
Denmark,combined_child_rearing,0.8550354881874994,0.791 - 0.924,0
Denmark,sex,0.8393323882743531,0.722 - 0.976,0.023
Denmark,age_grp,1.258377286268361,1.205 - 1.315,0
Denmark,educ,1.1329511589229064,1.088 - 1.179,0
Denmark,polint_rev,1.3947881210400894,1.266 - 1.538,0
Denmark,gen_trust_rev,1.4766305511169207,1.23 - 1.773,0
Estonia,combined_child_rearing,1.0682924435106445,0.911 - 1.255,0.418
Estonia,sex,1.1334527342935907,0.816 - 1.579,0.456
Estonia,age_grp,1.0757772738468114,0.986 - 1.174,0.1
Estonia,educ,0.971908540926759,0.887 - 1.064,0.54
Estonia,polint_rev,1.0117853301511919,0.84 - 1.221,0.902
Estonia,gen_trust_rev,1.1927436201939057,0.864 - 1.642,0.282
Finland,combined_child_rearing,0.9039631197467399,0.799 - 1.023,0.109
Finland,sex,0.8453186906022025,0.655 - 1.09,0.196
Finland,age_grp,1.2191913381578596,1.135 - 1.312,0
Finland,educ,1.1589699923637167,1.081 - 1.243,0
Finland,polint_rev,1.3086351803603251,1.117 - 1.535,0.001
Finland,gen_trust_rev,1.301606301666582,0.972 - 1.749,0.078
France,combined_child_rearing,0.8271965174690947,0.752 - 0.909,0
France,sex,1.0517191298941897,0.854 - 1.296,0.635
France,age_grp,1.1621676597691721,1.096 - 1.234,0
France,educ,1.061545441164255,0.999 - 1.129,0.055
France,polint_rev,1.3319086033816863,1.192 - 1.49,0
France,gen_trust_rev,1.3804317294710233,1.089 - 1.749,0.008
Germany,combined_child_rearing,0.8972144940286918,0.808 - 0.996,0.042
Germany,sex,1.3310699371353,1.094 - 1.62,0.004
Germany,age_grp,1.1600715414358325,1.097 - 1.228,0
Germany,educ,1.0280951064311752,0.969 - 1.09,0.355
Germany,polint_rev,1.3522133882349912,1.199 - 1.527,0
Germany,gen_trust_rev,1.1365832205026,0.924 - 1.397,0.225
Hungary,combined_child_rearing,1.0144672554757588,0.865 - 1.188,0.859
Hungary,sex,0.8693997805659012,0.636 - 1.19,0.38
Hungary,age_grp,0.9896380164734586,0.909 - 1.077,0.809
Hungary,educ,0.9877791211206048,0.89 - 1.093,0.815
Hungary,polint_rev,1.073310527408116,0.912 - 1.264,0.394
Hungary,gen_trust_rev,0.8192315823064305,0.569 - 1.162,0.273
Iceland,combined_child_rearing,0.9196765568420364,0.825 - 1.024,0.128
